Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note
ABW,314,Aruba,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,2.6,3.3,3.8,5.2,13.7,11.2,4.6,-2.3,4.3,2.7,0.2,2.2,2.2,-0.2,0.7,7.4,12.8,11.0,,,,Food and non-acoholic beverage
AFG,512,Afghanistan,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,25.4,23.6,16.9,18.3,10.7,-1.8,24.2,22.4,68.4,78.3,,,,,,,,,,,,,,,,6.3,12.3,41.1,-13.4,-0.3,10.7,4.7,7.6,7.7,-0.8,5.7,6.9,-1.0,3.8,5.8,,,,Food and non-acoholic beverage
AGO,614,Angola,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,17.2,14.1,18.5,18.1,17.4,14.9,12.8,10.4,7.0,9.3,21.2,41.0,22.4,17.7,25.2,23.9,22.9,,"Food, Beverages and Tobacco"
ALB,914,Albania,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,3.5,111.2,121.1,86.9,14.6,6.9,15.8,36.2,21.3,-0.1,-2.1,3.7,6.3,4.3,-0.1,-0.5,1.0,3.0,5.2,4.9,4.8,4.8,2.3,4.2,2.2,4.3,3.2,3.9,2.7,2.9,3.6,3.9,11.2,,Food and non-acoholic beverage
ARE,466,United Arab Emirates,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.8,4.5,5.9,5.2,2.7,2.2,1.2,1.0,1.2,3.5,-1.4,3.7,0.0,6.9,,Food and non-acoholic beverage
ARG,213,Argentina,Inflation,Food Consumer Price Inflation,16.5,16.5,41.7,63.1,55.2,15.1,187.7,458.6,163.2,163.2,168.7,95.1,99.2,178.4,339.0,638.9,624.1,98.1,132.8,332.9,3086.5,2129.2,161.1,30.2,10.3,1.4,2.8,-0.5,-0.7,1.7,-3.7,-2.6,-1.9,34.6,19.2,5.0,11.0,12.1,11.2,6.8,2.8,14.4,8.7,,,,49.4,20.4,32.7,58.3,47.0,49.8,74.6,,Food and non-acoholic beverage
ARM,911,Armenia,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,4247.8,190.5,14.9,8.4,6.2,-5.6,-5.9,4.7,2.2,6.9,10.0,0.8,4.1,6.7,11.1,-0.9,9.4,12.3,2.0,5.8,0.5,27.9,-22.0,4.0,2.3,1.9,0.3,11.2,12.1,,"Food, Alcohol & Tobacco"
ATG,311,Antigua and Barbuda,Inflation,Food Consumer Price Inflation,8.0,10.1,10.1,20.6,31.3,16.5,10.1,12.8,6.2,14.4,,,3.6,2.0,5.7,2.2,-1.8,6.5,5.8,7.7,6.2,6.3,,,12.3,2.2,3.7,-1.1,1.4,3.1,1.8,3.6,1.4,-2.7,4.4,2.5,1.1,4.9,5.2,7.4,,,,,,,,,,1.5,2.7,1.2,10.6,,Food and non-acoholic beverage
AUS,193,Australia,Inflation,Food Consumer Price Inflation,3.6,3.9,3.9,15.4,14.8,7.9,12.1,11.4,9.8,13.8,12.6,9.5,7.6,10.2,5.5,6.2,8.9,5.4,7.9,8.8,4.4,3.4,1.4,2.4,1.2,4.0,2.8,2.6,2.7,3.4,2.4,6.6,3.6,3.7,2.3,2.4,7.8,2.3,4.7,3.7,1.5,4.8,-1.6,0.8,2.5,0.9,0.8,0.7,1.0,4.5,9.3,7.9,8.2,,Food and non-acoholic beverage
AUT,122,Austria,Inflation,Food Consumer Price Inflation,4.4,3.2,5.3,7.2,8.1,6.1,5.3,5.6,2.9,2.5,4.5,5.9,4.2,2.1,5.4,2.0,2.0,0.2,0.1,0.8,2.8,4.1,3.7,2.3,1.4,-1.7,0.1,1.5,1.9,-0.6,0.6,3.6,1.3,1.8,1.9,1.2,1.9,4.2,6.3,0.2,0.5,4.2,3.2,3.5,1.9,0.8,0.7,2.4,1.5,1.0,2.3,0.8,10.7,,Food and non-acoholic beverage
