Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,314,Aruba,Inflation,Headline Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.0,1.9,2.3,4.0,2.9,3.3,3.7,2.5,3.4,3.6,5.4,9.0,-2.1,2.1,4.3,0.6,-2.4,0.4,0.5,-0.9,-0.5,3.6,4.3,1.2,0.7,5.5
AFG,512,Afghanistan,Inflation,Headline Consumer Price Inflation,25.5,25.5,-12.5,-10.7,10.2,11.9,0.6,7.7,5.0,9.9,13.4,22.2,18.2,15.9,20.4,8.7,-2.1,18.4,27.5,71.5,47.4,43.8,58.2,34.0,20.0,14.0,14.0,14.0,14.0,14.0,0.0,-43.4,51.9,35.7,16.4,10.6,6.8,8.7,26.4,-6.8,2.2,11.8,6.4,7.4,4.7,-0.7,4.4,5.0,0.6,2.3,5.4,5.1,
AGO,614,Angola,Inflation,Headline Consumer Price Inflation,8.0,5.8,15.8,15.7,27.4,29.0,80.7,69.0,48.5,101.3,46.7,1.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,85.3,299.1,1379.5,949.8,2672.2,4146.0,221.5,107.4,248.2,325.0,152.6,108.9,98.2,43.5,23.0,13.3,12.2,12.5,13.7,14.5,13.5,10.3,8.8,7.3,9.2,32.4,29.8,19.6,17.1,21.0,23.8,23.8
ALB,914,Albania,Inflation,Headline Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,-0.2,35.7,226.0,85.0,22.6,7.8,12.8,33.2,20.6,0.4,0.0,3.1,5.2,2.4,2.8,2.4,2.4,2.9,3.4,2.3,3.6,3.4,2.0,1.9,1.6,1.9,1.3,2.0,2.0,1.4,1.6,2.0,6.7
ARE,466,United Arab Emirates,Inflation,Headline Consumer Price Inflation,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,13.0,11.0,10.1,7.9,7.1,1.3,2.4,3.5,5.4,5.5,5.0,2.8,0.6,3.4,6.4,5.3,5.7,4.3,3.0,3.0,2.0,2.1,1.3,2.8,2.9,3.1,5.0,6.2,9.3,11.1,12.3,1.6,0.9,0.9,0.7,1.1,2.3,4.1,1.6,2.0,3.1,-1.9,-2.1,0.2,4.8
ARG,213,Argentina,Inflation,Headline Consumer Price Inflation,13.6,34.7,58.4,61.2,23.5,182.9,444.0,176.0,175.5,159.5,100.8,104.5,164.8,343.8,626.7,672.2,90.1,131.3,343.0,3079.8,2314.0,171.7,24.9,10.6,4.2,3.4,0.2,0.5,0.9,-1.2,-0.9,-1.1,25.9,13.4,4.4,9.6,10.9,8.8,8.6,6.3,10.5,9.8,10.0,10.6,38.1,26.5,39.4,25.7,34.3,53.5,42.0,48.4,72.4
ARM,911,Armenia,Inflation,Headline Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,3731.8,5273.4,176.7,18.7,14.0,8.7,0.6,-0.8,3.1,1.8,4.5,5.9,0.7,3.4,4.6,9.0,3.5,7.3,7.7,2.5,5.8,3.0,3.7,-1.4,1.0,2.5,1.4,1.2,7.2,8.6
ATG,311,Antigua and Barbuda,Inflation,Headline Consumer Price Inflation,8.9,8.6,12.7,21.7,13.0,8.6,15.6,13.8,6.2,16.3,19.0,11.5,4.2,2.3,3.8,1.0,0.5,3.6,6.8,4.4,6.6,4.5,3.0,3.1,6.5,2.7,3.0,0.4,3.3,1.1,-0.2,1.9,2.4,2.0,2.0,2.1,1.8,1.4,5.3,-0.6,3.4,3.5,3.4,1.1,1.1,1.0,-0.5,2.4,1.2,1.5,1.1,1.6,7.5
AUS,193,Australia,Inflation,Headline Consumer Price Inflation,3.4,6.1,6.0,9.1,15.4,15.2,13.3,12.3,8.0,9.1,10.1,9.5,11.4,10.0,4.0,6.7,9.1,8.5,7.2,7.5,7.3,3.2,1.0,1.8,2.0,4.6,2.6,0.2,0.9,1.5,4.5,4.4,3.0,2.7,2.3,2.7,3.6,2.3,4.4,1.8,2.9,3.3,1.8,2.4,2.5,1.5,1.3,2.0,1.9,1.6,0.8,2.8,6.6
AUT,122,Austria,Inflation,Headline Consumer Price Inflation,4.4,4.7,6.4,7.5,9.5,8.4,7.3,5.5,3.6,3.7,6.3,6.8,5.4,3.3,5.7,3.2,1.7,1.4,1.9,2.6,3.3,3.3,4.0,3.6,3.0,2.2,1.9,1.3,0.9,0.6,2.3,2.6,1.8,1.4,2.1,2.3,1.4,2.2,3.2,0.5,1.8,3.3,2.5,2.0,1.6,0.9,0.9,2.2,2.0,1.5,1.4,2.8,8.5
AZE,912,Azerbaijan,Inflation,Headline Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,106.6,917.0,1129.7,1664.0,411.8,19.8,3.7,-0.8,-8.5,1.8,1.9,2.8,2.1,6.7,9.5,8.2,16.6,20.8,1.3,5.7,7.8,1.0,2.4,1.4,4.0,12.4,12.8,2.3,2.7,2.8,6.7,13.9
BDI,618,Burundi,Inflation,Headline Consumer Price Inflation,-0.2,3.9,3.8,6.0,15.7,15.7,6.9,6.8,23.9,36.5,1.2,12.2,5.9,8.2,14.3,3.8,1.7,7.1,4.5,11.7,7.0,9.0,5.3,9.7,14.7,19.4,26.4,31.1,12.5,3.5,24.4,9.3,-1.4,10.6,8.2,13.3,2.8,8.4,24.4,10.6,6.5,9.6,18.2,7.9,4.4,5.5,5.6,16.6,-2.8,-0.7,7.3,8.3,18.8
BEL,124,Belgium,Inflation,Headline Consumer Price Inflation,3.9,4.3,5.4,7.0,12.7,12.8,9.1,7.1,4.5,4.5,6.6,7.6,8.7,7.7,6.3,4.9,1.3,1.6,1.2,3.1,3.4,3.2,2.4,2.8,2.4,1.5,2.1,1.6,0.9,1.1,2.5,2.5,1.6,1.6,2.1,2.8,1.8,1.8,4.5,-0.1,2.2,3.5,2.8,1.1,0.3,0.6,2.0,2.2,2.1,1.2,0.7,2.4,9.6
BEN,638,Benin,Inflation,Headline Consumer Price Inflation,6.3,2.8,3.9,6.9,14.4,-34.4,8.3,9.9,6.8,10.3,9.6,0.8,4.1,-6.1,10.3,1.2,0.4,-1.3,3.4,-0.2,1.1,2.1,5.9,0.4,38.5,14.5,4.9,3.8,5.8,0.3,4.2,4.0,2.4,1.5,0.9,5.4,3.8,1.3,7.9,0.4,2.2,2.7,6.7,0.9,-1.0,0.3,-0.9,1.8,0.8,-0.9,3.0,5.9,1.4
BFA,748,Burkina Faso,Inflation,Headline Consumer Price Inflation,1.8,2.1,-2.9,7.6,8.7,18.8,-8.4,30.0,8.3,15.0,12.3,7.6,12.1,8.3,4.8,7.1,-2.7,-2.8,4.2,-0.3,-0.8,2.5,-2.0,0.6,24.7,7.8,6.1,2.9,4.9,-1.1,-0.2,4.7,2.3,2.0,-0.4,6.4,2.3,-0.2,10.7,0.9,-0.6,2.8,3.8,0.5,-0.3,0.9,-0.2,0.4,2.0,-3.2,1.9,3.8,14.3
BGD,513,Bangladesh,Inflation,Headline Consumer Price Inflation,3.5,-0.6,45.3,45.0,54.7,16.6,-2.4,9.3,17.4,13.6,15.4,14.5,12.9,9.5,10.4,10.5,10.2,10.8,9.7,8.7,10.5,8.3,3.6,3.0,6.2,10.1,2.5,5.0,8.6,6.2,2.5,1.9,3.7,5.4,6.1,7.0,6.8,9.1,8.9,5.4,8.2,10.3,6.5,7.5,7.0,6.2,5.5,5.6,5.6,5.5,5.7,5.3,7.7
BGR,918,Bulgaria,Inflation,Headline Consumer Price Inflation,-0.4,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.8,2.8,2.8,2.7,2.7,2.5,6.4,23.9,333.5,91.3,72.8,96.9,61.5,125.5,1037.5,17.8,2.6,10.3,7.4,5.9,2.4,6.1,5.0,7.3,8.4,12.3,2.7,2.4,4.2,3.0,0.9,-1.4,-0.1,-0.8,1.2,2.8,2.5,1.7,2.8,15.3
