Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,614,Angola,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,6.72,9.17,20.39,23.02,16.09,17.57,23.15,29.80,26.02
ALB,914,Albania,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,3.47,6.53,-1.67,0.26,2.63,,,,,-1.61,2.84,1.60,-0.80,-3.43,2.70,19.94
ARG,213,Argentina,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,2.95,-1.22,-3.20,-4.03,3.69,-2.04,78.26,19.61,7.71,8.50,10.93,11.80,14.48,6.28,15.07,13.75,12.19,16.32,26.01,,,16.26,52.22,58.31,42.51,59.09,60.27
ARM,911,Armenia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,800.00,764.44,3950.26,154.98,29.57,21.70,14.63,5.86,-0.45,1.12,3.59,8.86,20.97,7.58,0.92,0.65,3.33,7.07,22.57,9.12,6.98,4.72,8.47,-0.77,1.51,2.16,0.08,0.63,2.98,9.87,2.68
AUS,193,Australia,Inflation,Producer Price Inflation,4.35,4.92,4.81,8.64,15.29,15.06,11.32,10.17,8.23,14.77,14.02,8.44,8.94,8.07,5.42,6.60,5.58,7.31,9.05,5.11,5.97,1.45,1.54,2.00,0.77,3.62,0.85,1.24,-3.96,-0.91,7.15,3.06,0.22,-1.23,7.66,6.04,6.14,2.29,8.08,-5.50,7.08,8.91,3.72,-0.50,-3.47,-4.94,-1.43,8.49,5.21,1.01,-3.71,5.74,9.88
AUT,122,Austria,Inflation,Producer Price Inflation,,,,,,,,-1.38,,,,,-2.84,,,,,,-0.25,1.77,2.87,0.85,-0.23,-0.41,1.34,0.31,0.16,0.37,-0.52,-0.84,3.04,0.25,-1.14,-0.06,1.73,3.10,1.69,2.77,3.49,-1.56,2.74,4.06,0.88,-0.88,-1.10,-1.48,-1.83,1.96,2.38,0.11,-1.59,7.95,9.53
AZE,912,Azerbaijan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.66,23.42,-19.36,36.41,23.91,12.90,-3.93,-5.07,-30.58,27.54,36.80,26.03,3.23,-24.80,69.60,84.31
BEL,124,Belgium,Inflation,Producer Price Inflation,4.82,-0.62,4.11,12.29,16.76,1.25,7.10,2.41,-1.88,6.29,5.78,14.07,13.46,6.71,7.57,2.61,-11.49,-4.96,1.64,6.56,-1.00,-1.05,-1.80,-2.54,1.60,3.27,2.16,3.69,-1.90,0.04,10.56,2.16,0.22,-1.23,7.66,6.04,6.14,2.29,8.08,-5.50,7.08,8.91,3.72,-0.50,-3.47,-2.00,-1.42,8.49,5.21,1.02,-3.71,17.34,34.23
BGD,513,Bangladesh,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,4.45,0.99,1.11,5.50,5.00
BGR,918,Bulgaria,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,0.90,-0.30,1.99,0.19,11.48,296.34,-60.67,-82.85,1146.30,55.72,132.68,971.20,16.99,2.80,17.53,3.67,1.29,4.94,5.97,8.11,12.89,7.57,10.32,-6.89,8.93,9.58,4.08,-1.63,-1.25,-1.98,-3.11,4.98,3.95,3.07,-1.90,15.29,37.84
